id,company_name,location,country,website,contact_emails,contact_role,description,employee_estimate,source_platform,source_job
138,Pixeld,"Melbourne / Geelong, Australia",Australia,https://www.pixeld.com.au,hello@pixeld.com.au,agency owners,Full-service digital agency for custom websites and growth marketing campaigns.,<50,Indeed,Digital Project Manager
139,PWD Digital Agency,"Perth, Australia",Australia,https://pwd.com.au,contact@pwd.com.au,general,Perth full-service web design and digital marketing agency.,~65,Indeed,Web Developer
140,Quasar Satellite Technologies,"Sydney, Australia",Australia,https://quasarsat.com,info@quasarsat.com,info,Space ground infrastructure company hiring software engineers.,<100,Indeed,Software Engineer
141,Relevance AI,"Sydney, Australia",Australia,https://relevanceai.com,jacky@relevanceai.com,founder,AI agents platform hiring senior software engineers (borderline ~100 employees — verify).,~97-126 verify,Indeed,Senior Software Engineer
142,Sentius Digital,"Melbourne, Australia",Australia,https://www.sentiusdigital.au,peoplefirst@sentius.com.au; digital@sentius.com.au,people / digital,"Melbourne full-service digital agency for strategy, UX/UI and marketing.",51-99,LinkedIn,Web UX/UI Designer
143,Settify (Corto Pty Ltd),"Sydney, Australia",Australia,https://www.settify.com.au,contact@settify.com,engineering,Legal-tech scale-up building AI intake/triage products for law firms.,~16,Indeed,AI Software Engineer
144,Shockbyte,"Melbourne, Australia",Australia,https://shockbyte.com,support@shockbyte.com,VP product / founders,Australian game-server hosting product company hiring senior developers.,29-33,Indeed,Senior Software Developer
145,Southside Digital,"Adelaide, Australia",Australia,https://www.southsidedigital.com,hello@southsidedigital.com,general,"Adelaide full-service digital agency for websites, SEO and social.",1-20,Indeed,Web Designer
146,The Start,"Perth, Australia",Australia,https://thestart.com.au,hi@thestart.com.au,general,"Award-winning Perth design, web and AI studio.",14-16,LinkedIn,Web Developer
147,WorkingMouse,"Brisbane, Australia",Australia,https://www.workingmouse.com.au,info@workingmouse.com.au,engineering leadership,Brisbane software engineering agency modernising legacy systems into cloud apps.,<100,Indeed,Full Stack Developer
148,Zanity,"Adelaide / Melbourne, Australia",Australia,https://zanity.com.au,info@zanity.com.au,technical lead,Full-service web and marketing agency hiring Magento/PHP developers.,<100,Indeed,Magento Developer
149,Alien Intelligence,"Perth, Australia",Australia,https://alienintelligence.ai,,founders,Perth AI software startup hiring AI software engineers for agentic systems.,<25,Indeed,AI Software Engineer
150,coreflow,"Sydney, Australia",Australia,https://coreflow.dev,,careers via Built In,Fast-growing Sydney AI entertainment startup hiring early software engineers.,<50,Indeed,Software Engineer
151,Affiliate.co.za,"Johannesburg, South Africa",South Africa,https://affiliate.co.za,info@affiliate.co.za,founders,Small SA affiliate-network / advertising-tech company with in-house development.,<25,Indeed,JUNIOR / MID FULL STACK DEVELOPER
152,Blue Bean Software,"Johannesburg, South Africa",South Africa,https://bluebeansoftware.com,info@bluebeansoftware.com,engineering leadership,Custom enterprise software and cloud product engineering company.,<100,Indeed,Junior Software Engineer
153,CyberPro Consulting,"Cape Town, South Africa",South Africa,https://www.cpconsulting.co.za,information@cpconsulting.co.za,delivery,"Software, data and digital consulting / staff-augmentation firm.",<100,Indeed,C# Developer
154,DotActiv,"Cape Town, South Africa",South Africa,https://dotactiv.com,info@dotactiv.com,info,Category-management SaaS for retailers and suppliers.,~73,Indeed,Junior C# Software Developer
155,Electrum Software,"Cape Town, South Africa",South Africa,https://www.electrumsoftware.com,hello@electrum.co.za; support@electrum.co.za,hiring / engineering,Cape Town payments software product company (cloud-native clearing/VAS).,<100,Indeed,Junior React Software Engineer
156,INTX Insurance Software,"Johannesburg, South Africa",South Africa,https://intx.com,info@intx.com,engineering managers,Reinsurance/insurance operating-system product company with Johannesburg engineering.,<100,Indeed,Junior Full Stack Developer
157,Mars Technologies,"Cape Town, South Africa",South Africa,https://marstech.co.za,support@marstech.co.za; sales@marstech.co.za,sales / support,Growing Managed Service Provider hiring graduate software developers.,<100,Indeed,Graduate Software Developer
158,Sendmarc,"Johannesburg, South Africa",South Africa,https://sendmarc.com,info@sendmarc.com,product engineering,Email authentication / DMARC security SaaS.,~87,Indeed,Full Stack Engineer
159,Sharenet,"Cape Town, South Africa",South Africa,https://www.sharenet.co.za,course@sharenet.co.za,tech / product,JSE market-data and investor-tools software company hiring web developers.,<100,Indeed,Web Developer
160,Spriggabyte,"Cape Town, South Africa",South Africa,https://spriggabyte.co.za,guy@spriggabyte.co.za,founder,Small Cape Town Drupal/Laravel/WordPress agency founded 2021.,<10,Indeed,Junior Web Developer Internship (PHP/Drupal)
161,Stanchion Payment Solutions,"Cape Town, South Africa",South Africa,https://www.stanchionpayments.com,privacy@stanchionpayments.com,engineering,Payments integration and switch software company.,~77,Indeed,Java Software Engineer
162,Talent Sam,"Johannesburg / Cape Town, South Africa",South Africa,https://www.talentsam.com,support@talentsam.com,ops / engineering,SA remote-talent / outsourcing firm building internal web apps.,<100,Indeed,Full Stack Developer
163,Bluespec Holdings,"Sandton, South Africa",South Africa,https://bluespec.co.za,,tech leadership,Sandton tech group hiring AI developer interns.,<100,Indeed,AI Developer Intern
164,Hire Hangar,"Cape Town / Johannesburg, South Africa",South Africa,https://www.hirehangar.com,,ops,AI-powered global recruiting firm hiring SA full-stack developers.,<100,Indeed,Frontend-Focused Full Stack Developer
165,Hire Overseas,"Cape Town, South Africa",South Africa,https://hireoverseas.com,,product,Remote hiring platform with Cape Town roles for web developer & designer.,<100,Indeed,Web Developer & Designer
166,IndSAfri,"Roodepoort, South Africa",South Africa,https://indsafri.com,,engineering management,Software/services firm hiring permanent software developers for enterprise systems.,<100,Indeed,Software Developer - Permanent
167,Optimim,"Cape Town, South Africa",South Africa,https://optimim.co.za,,product engineering,Cape Town software product company building PHP/web solutions for the SA market.,<50,Indeed,Software Developer
168,Prime Meridian Direct,"Johannesburg, South Africa",South Africa,https://www.primemeridiandirect.com,,product engineering,Insurance/fintech product company hiring full-stack Python developers.,<100,Indeed,Full-Stack Python Developer
169,Sable International,"Cape Town, South Africa",South Africa,https://www.sableinternational.com,,tech / product,International services firm with Cape Town tech team hiring SQL developers.,<100,Indeed,Junior SQL Developer
170,Select Africa,"Johannesburg, South Africa",South Africa,https://selectafrica.net,,tech lead,Financial-services tech team hiring software developer interns (.NET/SQL).,<100,Indeed,Software Developer Intern
171,SOFTA,"Johannesburg, South Africa",South Africa,https://softa.co.za,,founders,Johannesburg software firm hiring junior full-stack / AI-enthusiast developers.,<50,Indeed,Junior Full-Stack Developer
172,Speechify,"Johannesburg, South Africa",South Africa,https://speechify.com,,platform engineering,Text-to-speech product company hiring platform software engineers from Johannesburg.,<100,Indeed,"Software Engineer, Platform"
173,Team Liquid,"Johannesburg, South Africa",South Africa,https://www.teamliquid.com,,digital product,Esports org with Johannesburg digital-product full-stack engineer hiring.,<100 local,Indeed,Full Stack Engineer
174,Upstream,"Johannesburg, South Africa",South Africa,https://www.upstreamsystems.com,,engineering managers,Digital engagement / software firm hiring Java software engineers.,<100,Indeed,"Software Engineer, Java"
175,Bakeli School of Technology,"Dakar, Senegal",Senegal,https://bakeli.tech,contact@bakeli.tech,contact,Volkeno-linked tech school in Dakar training and placing software developers.,<50,LinkedIn,Developer / trainer hiring
176,Baobab Group,"Dakar, Senegal",Senegal,https://www.baobabgroup.com,candidaturebbs@baobab.com,careers,African digital finance group hiring front-end tech leads in Dakar.,<100 local digital,LinkedIn,Tech lead front-end
177,Cabinet International Link,"Dakar, Senegal",Senegal,https://cil.sn,info@cil.sn,info,Dakar professional services firm with IT-adjacent digital offerings.,<100,LinkedIn,IT / digital roles
178,Consortium Jeunesse Senegal,"Dakar, Senegal",Senegal,,recrutement@consortiumjeunesse.sn,recruitment,Full-stack hiring via Bakeli ecosystem / youth consortium in Dakar.,<50,LinkedIn,Full Stack Developer
179,Djamo,"Dakar, Senegal",Senegal,https://www.djamo.com,business@djamo.com,business / partnerships,West African neobank/fintech hiring backend engineers and SREs in Dakar.,<100,LinkedIn,Software Engineer (Backend)
180,HELLO GROUP,"Dakar, Senegal",Senegal,https://hellogroup.sn,info@hellogroup.sn,info,Dakar digital/agency group offering tech and creative services.,<100,LinkedIn,Digital consultant / developer
181,Infrafric,"Dakar, Senegal",Senegal,https://infrafric.sn,contact@infrafric.sn,contact,Dakar tech and digital services company.,<100,LinkedIn,Digital / tech roles
182,KPA6T,Dakar / Francophone Africa,Senegal,,jeremy.frederic@kpa6t.fr,hiring contact,Tech firm hiring fullstack developers with Senegal-visible job posts.,<50,LinkedIn,Développeur Full Stack
183,Odixcity Consulting (Senegal listings),"Dakar, Senegal",Senegal,https://www.odixcity.com,info@odixcity.com; careers@odixcity.com,recruiting / delivery,"IT consulting/recruiting firm posting CMS, Drupal and engineer-annotator roles in Senegal.",<100,LinkedIn,CMS Developer / Drupal web developer
184,RED TIC,"Dakar, Senegal",Senegal,https://red-tic.com,info@red-tic.com,recruitment / consulting,IT consulting and recruitment firm posting software-engineer and ServiceNow roles in Dakar.,<100,LinkedIn,SOFTWARE ENGINEER – DATA & ANALYTICS PLATFORM
185,TechSol SA,"Dakar, Senegal",Senegal,https://techsol.sn,contact@techsol.sn,contact,Dakar IT integrator for cloud and software solutions.,<100,LinkedIn,Software / IT roles
186,Volkeno,"Dakar, Senegal",Senegal,https://volkeno.com,contact@volkeno.sn; contact@volkeno-tank.com,contact,Dakar digital agency and startup studio building software products and training talent.,~83,LinkedIn,Web / software roles (agency hiring)
187,Chapter One,"Dakar, Senegal",Senegal,https://chapterone.com,,engineering lead,Product/engineering team hiring full-stack React Native/NestJS engineers with Dakar visibility.,<50,LinkedIn,Full Stack Software Engineer
188,EPF Africa,"Dakar, Senegal",Senegal,https://www.epf.fr,,academic / digital,Engineering school campus in Dakar hiring UX/UI Design professors.,<100 campus,LinkedIn,Recrutement de professeurs en UX/UI Design
189,Galimatech,"Dakar, Senegal",Senegal,,,,Dakar nearshore Java/Angular software company visible via LinkedIn Senegal job search.,<100,LinkedIn,Java / Angular Developer
190,Paathz,"Dakar, Senegal",Senegal,https://paathz.com,,engineering / founders,Tech company hiring Software Engineer (AI Algorithm) in Senegal.,<50,LinkedIn,Software Engineer (AI Algorithm)
191,Rekruit Nearshore,Senegal (nearshore),Senegal,https://rekruitnearshore.com,,nearshore delivery,Nearshore IT recruiting firm hiring ServiceNow developers/analysts in Senegal.,<50,LinkedIn,Développeur/Analyste fonctionnel ServiceNow
192,SBS,"Dakar, Senegal",Senegal,https://www.s-b-s.fr,,digital consulting,Digital consulting firm actively hiring Consultant PS Digital in Dakar.,<100,LinkedIn,Consultant PS Digital
193,TEHORA inc.,"Dakar, Senegal",Senegal,https://tehora.ca,,digital twin engineering,Engineering firm hiring portal/dashboard developer for digital-twin work in Dakar.,~31,LinkedIn,Développeur(se) portail / Tableaux de bord
194,The Flex,"Dakar, Senegal",Senegal,https://theflex.com,,product / design,Company hiring UX/UI Designer in Dakar via LinkedIn Senegal listings.,<100,LinkedIn,UX/UI Designer
195,Sage Grey Technologies Limited,"Lagos, Nigeria",Nigeria,https://sagegreytech.com,careers@sagegreytech.com; info@sagegreytech.com,careers / info,"Builds and deploys practical tech products (escrow, ecommerce, AI verification) for Nigerian markets.",20-50,Indeed,Full Stack Developer (React.js + Node.js)
196,SilvaCreate,"Port Harcourt, Nigeria",Nigeria,https://silvacreate.com,david@silvacreate.com,founder / CTO,Port Harcourt web design and digital marketing agency.,1-20,Indeed,Web Designer
197,SMARTROB Technologies,"Lagos, Nigeria",Nigeria,https://smartrobtech.com,info@smartrobtech.com,info,Web and software development agency specializing in fintech/payment apps and digital products.,~4,Indeed,Mobile App Developer
198,Snaarp,"Lagos, Nigeria",Nigeria,https://snaarp.com,hr@snaarp.com,hr,Cybersecurity and cloud productivity SaaS for securing and collaborating on business data.,10-40,Indeed,Full-Stack Developer
199,Snapnet Solutions Limited,"Lagos, Nigeria",Nigeria,https://www.snapnetsolutions.com,info@snapnetsolutions.com,info,"ERP, cloud, analytics, security, and custom software development / managed IT services.",~56,Indeed,Node Js Backend Engineer
200,Squareme,"Lagos, Nigeria",Nigeria,https://squareme.app,hi@squareme.app,general,Fintech building P2P payments via phone numbers and B2B payment platform FundR.,~24,LinkedIn,Backend Engineer
