id,company_name,location,country,website,contact_emails,contact_role,description,employee_estimate,source_platform,source_job
236,Daysix,"Edinburgh, Scotland, United Kingdom",United Kingdom,https://daysix.co,hello@daysix.co,hello / general,Digital agency hiring web/software developers.,11-50,LinkedIn,Senior Product Engineer
237,Digiryte,"Manchester, UK",United Kingdom,https://digiryte.com,hello@digiryte.com,general,Manchester software development and digital product company for startups and enterprises.,21-50,LinkedIn,Software Developer
238,"Digital Tonic | Digital, eCommerce & Marketing Recruitment","Greater Bristol Area, United Kingdom",United Kingdom,https://digital-tonic.co/,ewan@digital-tonic.co; stacey@digital-tonic.co,public inbox,Shopify / ecommerce software or agency team hiring for storefront and commerce engineering.,2-10,LinkedIn,Paid Media Manager
239,Digital Waffle,"Manchester Area, United Kingdom",United Kingdom,https://www.digitalwaffle.co/,hello@digitalwaffle.co,hello / general,Digital agency hiring web/software developers.,11-50,LinkedIn,Full Stack Engineer
240,Earthstorm Media Ltd.,"Bournemouth, England, United Kingdom",United Kingdom,https://www.earthstormmedia.com,clientservices@earthstormmedia.com,public inbox,WordPress / web development company or agency hiring CMS and custom web developers.,2-10,LinkedIn,Full Stack Developer
241,Enovate Design,Chelmsford / Remote UK,United Kingdom,https://www.enovate.co.uk,hello@enovate.co.uk,CEO,"Small Craft CMS and Laravel/Node digital agency, largely remote.",~8,Indeed,Digital agency developer
242,Executive Integrity | B Corp®,"City Of Bristol, England, United Kingdom",United Kingdom,https://www.executive-integrity.com,info@executive-integrity.com,info / contact,Digital agency hiring web/software developers.,11-50,LinkedIn,Application Support Developer
243,Fast Web Media,"Manchester, UK",United Kingdom,https://fastwebmedia.com,hello@fastwebmedia.com,CEO,"Manchester digital agency focused on search, technical development and digital.",11-50,Indeed,Web Developer
244,Fifteen Ten,"Bristol, UK",United Kingdom,https://fifteenten.co.uk,info@fifteenten.co.uk,general,Bristol creative digital agency hiring designers for brand and digital work.,1-20,LinkedIn,Graphic Designer
245,Gecko Agency,"Edinburgh, UK",United Kingdom,https://www.wearegecko.co.uk,hello@wearegecko.co.uk,new business,Edinburgh Umbraco/.NET digital agency building websites for UK clients.,11-50,LinkedIn,Full Stack Web Developer
246,Gibe Digital,Bristol / Remote UK,United Kingdom,https://gibe.digital,hello@gibedigital.com,co-owners,Technically led ecommerce and CMS agency building heavier software-side sites.,~14,Indeed,Senior Developer
247,Indiespring,"Manchester, UK",United Kingdom,https://indiespring.com,hello@indiespring.com,MD,Manchester mobile development agency focused on brownfield app maintain/evolve/rebuild.,11-50,Indeed,Mobile developer
248,Informed Solutions,"Altrincham, England, United Kingdom",United Kingdom,https://www.informed.com,contactus@informed.com,public inbox,Healthtech / digital health software company hiring engineers.,51-100,LinkedIn,People Development & Experience Lead
249,Jones and Palmer,"Birmingham, UK",United Kingdom,https://www.jonesandpalmer.co.uk,hello@jonesandpalmer.co.uk,head of software,Birmingham corporate communications agency with Umbraco/C# product engineering.,~51,LinkedIn,Umbraco Full Stack Developer
250,Just Chill,Manchester / Remote UK,United Kingdom,https://www.justchillsocial.com,hello@justchillsocial.com,agency director,B2B digital marketing agency for industrial/construction clients; WordPress & Webflow.,<50,LinkedIn,Web Developer (WordPress & Webflow)
251,KAIKAKU,"London, UK",United Kingdom,https://kaikaku.ai,hello@kaikaku.ai,founders,London robotics startup automating restaurant kitchens.,~33,LinkedIn,Software Engineer
252,Kalexiko,"Birmingham, UK",United Kingdom,https://www.kalexiko.com,studio@kalexiko.com,studio / technical director,Birmingham digital agency building LAMP/Laravel web apps and sites.,<50,Indeed,Web Developer
253,Klicco Media,"Hammersmith, England, United Kingdom",United Kingdom,https://www.klicco.co.uk,hello@klicco.co.uk; you@practice.com,hello / general,Healthtech / digital health software company hiring engineers.,2-10,LinkedIn,Frontend Developer
254,Kubix,"Birmingham, England, United Kingdom",United Kingdom,https://kubixmedia.co.uk,info@kubixmedia.co.uk,info / contact,"Shopify Platinum Partner digital agency in Birmingham hiring for CRM, paid media, and ecommerce growth roles.",11-50,LinkedIn,CRM Specialist (Klaviyo)
255,Latent Labs,"London, England, United Kingdom",United Kingdom,https://www.latentlabs.com/,contact@latentlabs.com,info / contact,Healthtech / digital health software company hiring engineers.,11-50,LinkedIn,Communications & Marketing Lead
256,Longshot Systems,"London, UK",United Kingdom,https://longshotsystems.co.uk,david@longshotsystems.co.uk,co-founder,Sports betting analytics and trading technology company.,~22,Indeed,Software Engineer
257,Manchester Digital,"Manchester, England, United Kingdom",United Kingdom,https://www.manchesterdigital.com,info@manchesterdigital.com,info / contact,Mobile app studio or product company hiring mobile engineers.,11-50,LinkedIn,iOS/Android Mid & Senior Developers - Government Digital Service - G7
258,MediaBlanket,"Manchester, UK",United Kingdom,https://www.mediablanket.co.uk,hello@mediablanket.co.uk; partners@mediablanket.co.uk,studio lead,Consumer credit lead-gen tech company hiring frontend developers.,<50,Indeed,Frontend Developer
259,Navari Group,"Altrincham / Manchester, UK",United Kingdom,https://navari.co.uk,info@navari.co.uk; hello@navari-group.com,CTO,Greater Manchester software firm building Laravel web systems for care-sector and utilities.,<50,Indeed,Web Developer
260,Oblige IT,"Bolton / Manchester, UK",United Kingdom,https://obligeit.co.uk,sales@obligeit.co.uk,directors,Small Dynamics 365 / Microsoft partner consultancy hiring web developers.,<50,Indeed,Web Developer
261,OH Digital,"Manchester, UK",United Kingdom,https://oh.digital,jobs@ohdigital.co.uk,careers,"Developer-run Manchester web agency focused on PHP, Laravel and WordPress.",1-10,LinkedIn,PHP Web Developer
262,Oneiro Solutions,"City Of Edinburgh, Scotland, United Kingdom",United Kingdom,https://www.oneirosolutions.com,info@oneirosolutions.com; info@oneirosolutions.com\,info / contact,"Our platform is designed to streamline and modernise loan management, DLX replaces outdated, manual processes w...",11-50,LinkedIn,Product Design Engineer
263,Pixel Kicks,"Manchester, UK",United Kingdom,https://pixelkicks.co.uk,info@pixelkicks.co.uk,general,"Manchester full-service digital agency specialising in Shopify, WordPress and Webflow.",11-21,LinkedIn,Frontend Developer
264,Prism Digital,United Kingdom,United Kingdom,https://www.prism-digital.com,alex@prism-digital.com; lauren.millane@prism-digital.com; jemima.allison@prism-digital.com,public inbox,Digital agency hiring web/software developers.,11-50,LinkedIn,Web Developer
265,Proctor + Stevenson,"Bristol, UK",United Kingdom,https://proctorsgroup.com,marketing@proctorsgroup.com; recruitment@proctors.co.uk,recruitment,Bristol B2B creative and digital agency hiring Webflow and digital design talent.,~43,LinkedIn,Webflow Developer
266,Reason8 Marketing,"Hinckley / Midlands, UK",United Kingdom,https://reason8agency.co.uk,hello@reason8agency.co.uk; tom@reason8agency.co.uk,founder,Boutique B2B web design and SEO agency for owner-led businesses.,2-10,Indeed,Senior Web Designer & Developer
267,Recourse AI,"Manchester Area, United Kingdom",United Kingdom,https://recourseai.com,jobs@recourseai.com,careers / talent,Healthtech / digital health software company hiring engineers.,11-50,LinkedIn,Full Stack Engineer
268,Rejuvenate Digital,"Leeds, UK",United Kingdom,https://rejuvenate.digital,studio@rejuvenate.digital,studio,"Leeds full-service digital agency for web, app, video and digital marketing.",6-18,Indeed,WordPress Developer - Front end
269,Savasaachi Marketing Agency,"Oldham / Manchester, UK",United Kingdom,https://savasaachi.co.uk,hello@savasaachi.com; info@savasaachi.com,agency director,Full-service digital marketing and web design agency in Greater Manchester.,<50,Indeed,Web Designer
270,Series Eight,"Brighton, UK",United Kingdom,https://serieseight.com,info@serieseight.com,general,"Independent digital agency for brand identity, UI and web for SaaS and ecommerce.",~23,LinkedIn,Brand and Digital Designer
271,Soap Media,"Manchester, UK",United Kingdom,https://soapmedia.co.uk,hello@soapmedia.co.uk,agency leadership,Award-winning digital marketing and performance agency with in-house web development.,~19,Indeed,Front End WordPress Developer
272,SoBold,"London, UK",United Kingdom,https://sobold.co.uk,hello@soboldltd.com,CEO,London Bridge boutique website design and development agency.,<10,Indeed,Junior Front End Developer
273,SOJO,"London, UK",United Kingdom,https://www.sojo.uk,careers@sojo.uk,careers,Clothing repair and circular fashion platform with a small engineering team.,<50,Indeed,Lead Software Engineer / Technical Lead
274,Solve Intelligence,"London, United Kingdom",United Kingdom,https://solveintelligence.com,contact@solveintelligence.com,general,AI patent/IP platform startup hiring full-stack engineers.,11-50,LinkedIn,Full-Stack Engineer (Back-End Leaning)
275,Spydr,"Bristol, England, United Kingdom",United Kingdom,https://spydr.com,team@spydr.com; team@spydr.com\; us-team@spydr.com,public inbox,Digital agency hiring web/software developers.,11-50,LinkedIn,Website Support Engineer
276,Stanhope AI,"London, UK",United Kingdom,https://www.stanhopeai.com,info@stanhopeai.com; press@stanhopeai.com,founders,Deeptech startup applying Active Inference to robotics and embodied autonomous systems.,1-10,LinkedIn,AI Developer – Robotics
277,Studio Cotton,"Bristol, UK",United Kingdom,https://studiocotton.co.uk,hello@studiocotton.co.uk; careers@studiocotton.co.uk,general / careers,Small Bristol web design studio for independent brands and podcasts.,2-10,LinkedIn,Website Designer
278,Suna Health,"London Area, United Kingdom",United Kingdom,https://suna.health,echo@suna.health; echo@suna.health\,public inbox,Healthtech / digital health software company hiring engineers.,2-10,LinkedIn,Founding ML Engineer
279,Syndi App,United Kingdom,United Kingdom,https://www.syndi.co.uk,info@syndi.co.uk,info / contact,Digital agency hiring web/software developers.,2-10,LinkedIn,Founding Engineer
280,Tekton Dynamics,"London, UK",United Kingdom,https://tekton-dynamics.com,contact@tekton-dynamics.com,founders,YC W24 physical-AI startup building control layer for welding robots.,<20,LinkedIn,Founding Engineer
281,Unbranded Digital,"Bradford, England, United Kingdom",United Kingdom,https://unbranded.digital,hello@unbranded.digital,hello / general,Digital agency hiring web/software developers.,2-10,LinkedIn,SEO Executive
282,We Are Adam,"Manchester, England, United Kingdom",United Kingdom,https://www.weareadam.com,hello@weareadam.com; hello@weareadam.com\; u003ehello@weareadam.com,hello / general,Digital agency hiring web/software developers.,11-50,LinkedIn,Digital Coordinator
283,Wealth Club,"Bristol, England, United Kingdom",United Kingdom,https://www.wealthclub.co.uk/,enquiries@wealthclub.co.uk,info / contact,Digital agency hiring web/software developers.,11-50,LinkedIn,Digital Marketing Executive
284,WeComm,"Leeds, England, United Kingdom",United Kingdom,https://www.wecomm.co.uk,info@wecomm.co.uk,info / contact,Shopify / ecommerce software or agency team hiring for storefront and commerce engineering.,11-50,LinkedIn,Ecommerce Manager
285,Wide Angle Software Ltd,"Stafford, England, United Kingdom",United Kingdom,https://www.wideanglesoftware.com/,help@paddle.com,public inbox,WordPress / web development company or agency hiring CMS and custom web developers.,2-10,LinkedIn,Graduate Web Developer
286,Zealous Agency,"Leeds, England, United Kingdom",United Kingdom,https://www.zealousagency.co.uk,helloleeds@zealousagency.co.uk; hellomanchester@zealousagency.co.uk; hellolondon@zealousagency.co.uk,hello / general,Digital agency hiring web/software developers.,2-10,LinkedIn,Web Developer
287,A3 MERCH,"Nashville, TN",United States,https://a3merch.com,contact@a3merch.com; contact@a3merch.com\,info / contact,Digital agency hiring web/software developers.,11-50,LinkedIn,Staff Accountant
288,Anza Renewables,"Portland, OR",United States,https://www.anzarenewables.com,press@anzarenewables.com,public inbox,Anza is a revolutionary platform that empowers solar and energy storage equipment buyers and developers to use advanced data and technology to see...,51-100,LinkedIn,Senior Software Engineer (Node.js/React)
289,Assistly | Senior Care Software,"Atlanta, GA",United States,https://assistly.care,info@assistly.care; sales@assistly.care,info / contact,Healthtech / digital health software company hiring engineers.,11-50,LinkedIn,Full Stack Engineer – Assistly
290,Bellurbis,"Austin, TX",United States,https://www.bellurbis.com,info@bellurbis.com; fluent_learning-app-20-filled@2x-1.webp; fluent_learning-app-20-filled@2x-1-300x300.webp,info / contact,"For over 15 years, Bellurbis has been a trusted ...",51-100,LinkedIn,Senior Backend Engineer
291,Blue Interactive Agency,"Fort Lauderdale, FL",United States,https://blueinteractiveagency.com,peter.brooke@speaktoblue.com,public inbox,Digital agency hiring web/software developers.,11-50,LinkedIn,Content Manager
292,Broccoli AI,"San Francisco, CA",United States,https://www.broccoli.com/,sales@broccoli.com; sales@broccoli.com\,public inbox,"Broccoli helps home service businesses turn missed calls and lost leads into booked jobs. Our AI employees answer calls, schedule appointments, ...",51-100,LinkedIn,"Software Engineer, Growth"
293,Courier Health,"New York, NY",United States,https://www.courierhealth.com/,sales@courierhealth.com,public inbox,Healthtech / digital health software company hiring engineers.,51-100,LinkedIn,Software Engineer
294,Elastic Ltd,"Austin, TX",United States,https://www.elastic-ltd.com,sean@elastic-ltd.com,public inbox,Mobile app studio or product company hiring mobile engineers.,2-10,LinkedIn,Lead Mobile Engineer
295,Evelyn & Bobbie,"Portland, Oregon Metropolitan Area",United States,https://www.evelynbobbie.com,connect@evelynbobbie.com,public inbox,Digital agency hiring web/software developers.,11-50,LinkedIn,Digital Designer
296,Foundation Health,"Orlando, FL",United States,https://www.foundationhealth.com,contactus@foundationhealth.com; contactus@foundationhealth.com\,public inbox,Healthtech / digital health software company hiring engineers.,11-50,LinkedIn,Software Engineer
297,FrontrowMD,"Austin, TX",United States,https://www.frontrowmd.com/,irfan@thefrontrowhealth.com,public inbox,Healthtech / digital health software company hiring engineers.,11-50,LinkedIn,Frontend Solutions Engineer
298,Healia Health,"Columbus, OH",United States,https://healiahealth.com,hello@healiahealth.com; info@healiahealth.com,hello / general,Healthtech / digital health software company hiring engineers.,11-50,LinkedIn,Senior Software Engineer (Full Stack)
299,Injective Labs,"New York County, NY",United States,https://www.injectivelabs.org/,contact@injectivelabs.org,info / contact,Mobile app studio or product company hiring mobile engineers.,51-100,LinkedIn,Mobile App Developer
300,Integra Tech Advisors,New York City Metropolitan Area,United States,https://integra-tech.io/,contact@integra-tech.io,info / contact,Early-stage software startup hiring engineers (LinkedIn Jobs).,2-10,LinkedIn,Senior Software Engineer
301,Inverse Paradox,"Philadelphia, PA",United States,https://inverseparadox.com,wpjobs@inverseparadox.net,WordPress hiring inbox,"Digital agency for web and graphic design for SMBs, hiring WordPress WooCommerce developers.",1-20,Indeed,WordPress WooCommerce Developer
302,IT Motives,"Portland, Oregon Metropolitan Area",United States,https://www.itmotives.com,info@itmotives.com,info / contact,IT Motives is a niche technology recruiting com...,2-10,LinkedIn,Senior Full Stack Engineer
303,myPlace Health,"Long Beach, CA",United States,https://www.myplacehealth.com,hello@myplacehealth.com; hello@myplacehealth.com\; referrals@myplacehealth.com,hello / general,Healthtech / digital health software company hiring engineers.,51-100,LinkedIn,Senior Software Engineer
304,Nadia Care,"Nashville, TN",United States,https://www.nadiacare.com,hello@nadiacare.com; care@nadiacare.com,hello / general,Healthtech / digital health software company hiring engineers.,51-100,LinkedIn,Senior Full-Stack Engineer
305,Prophetic,"Portland, OR",United States,https://www.propheticsoftware.ai,trev@tntdsgn.com,public inbox,Prophetic is the AI-native land acquisition platform for homebuilders and real estate developers. We h...,11-50,LinkedIn,Full Stack Software Engineer (Mid-Sr.)
306,Prosper Health,"New York, NY",United States,https://www.prosperhealth.io,help@prosperhealth.io,public inbox,Healthtech / digital health software company hiring engineers.,11-50,LinkedIn,Senior Product Engineer
307,Scio,"Austin, TX",United States,https://sciodev.com,humancapital@sciodev.com,Human Capital,Nearshore software development partner posting senior .NET MAUI mobile roles on Indeed Austin.,51-100,Indeed,Senior Mobile App Developer (.NET MAUI)
308,Shrive Technologies,"St Louis, MO",United States,https://shrivetechnologies.com/,info@shrivetechnologies.com; eben@eyebytes.com,info / contact,"At Shrive Technologies, we are obsessed with technology. Its power to change everything. Technology fuels our passion and commitment to helping ...",51-100,LinkedIn,Bayer AG
309,SpinSci Technologies LLC,"Dallas, TX",United States,https://spinsci.ai,careers@spinsci.com; support@spinsci.com,careers / talent,Healthtech / digital health software company hiring engineers.,51-100,LinkedIn,Cloud Engineer
310,Tech Ladies®,"New York, United States",United States,https://www.hiretechladies.com,help@hiretechladies.com; sales@hiretechladies.com,public inbox,Women in the technology industry often feel like ...,2-10,LinkedIn,Software Engineer
311,Thrive Mobile,"New York, NY",United States,https://thrivemobile.com/,help@thrivemobile.com; legal@thtcorp.com; help@thrivemobile.com),public inbox,Healthtech / digital health software company hiring engineers.,11-50,LinkedIn,Senior Backend/ Infrastructure Engineer
312,Timberlab,"Portland, OR",United States,https://timberlab.com,estimating@timberlab.com,public inbox,Digital agency hiring web/software developers.,51-100,LinkedIn,Digital Construction Engineer
313,Titan Brands,"Nashville, TN",United States,https://www.titanbrands.com,info@titandistributorsinc.com,info / contact,Healthtech / digital health software company hiring engineers.,51-100,LinkedIn,Paid Media Manager
314,Trinity Technology Solutions LLC,"Ohio, United States",United States,https://www.trinitetech.com,sales@trinitetech.com; sales@trinitetech.com\,public inbox,Shopify / ecommerce software or agency team hiring for storefront and commerce engineering.,11-50,LinkedIn,Shopify Developer
315,Velos Mobile,"San Francisco, CA",United States,https://velosmobile.com,jobs@velosmobile.com; sales@velosmobile.com; inquiries@velosmobile.com,careers / talent,Mobile app studio or product company hiring mobile engineers.,11-50,LinkedIn,ABOUT VELOS
316,Webital Tech </>,"Tucson, AZ",United States,https://www.webitaltech.com,info@webitaltech.com; uk@webitaltech.com; uk@webitaltech.com\,info / contact,Mobile app studio or product company hiring mobile engineers.,51-100,LinkedIn,React Native Developer
317,Zero Homes,"Denver, CO",United States,https://www.zerohomes.com,hello@zerohomes.com,hello / general,Healthtech / digital health software company hiring engineers.,11-50,LinkedIn,Junior Full Stack Engineer
318,Alien Intelligence,"Perth, Australia",Australia,https://alienintelligence.ai,,founders,Perth AI software startup hiring AI software engineers for agentic systems.,<25,Indeed,AI Software Engineer
319,Antero Software,"Brisbane, Queensland, Australia",Australia,https://www.antero.com.au/,,agency leadership / hiring,The biggest challenges facing organisations trying...,11-50,LinkedIn,Automated Test Engineer
320,Aperitif Agency,"Melbourne, Victoria, Australia",Australia,https://aperitifagency.com.au/,,engineering / agency lead,Digital agency hiring web/software developers.,2-10,LinkedIn,SEO Manager
321,BFJ Digital,"Brisbane City, Queensland, Australia",Australia,https://bfj.digital/,,engineering / agency lead,Digital agency hiring web/software developers.,11-50,LinkedIn,Digital Content & SEO Producer
322,Builder Design Studio,"Melbourne, Australia",Australia,,,,AU product/software studio hiring developers via job boards.,1-20,LinkedIn,Full Stack Developer
323,Capsule AI,"Gold Coast, Queensland, Australia",Australia,,,engineering / product,Gold Coast AI/software startup appearing in LinkedIn web developer job filters.,2-10,LinkedIn,Web Developer jobs — Capsule AI
324,coreflow,"Sydney, Australia",Australia,https://coreflow.dev,,careers via Built In,Fast-growing Sydney AI entertainment startup hiring early software engineers.,<50,Indeed,Software Engineer
325,Creative Activation,"Gold Coast, Queensland, Australia",Australia,,,agency lead,Gold Coast digital/activation agency hiring entry-level business development managers.,2-10,LinkedIn,Business Development Manager - Entry Level Role
326,Creative Natives,"Melbourne, Victoria, Australia",Australia,https://creativenatives.com.au/,,engineering / agency lead,Digital agency hiring web/software developers.,11-50,LinkedIn,Digital Project Manager
327,Data Zoo,"Melbourne, Victoria, Australia",Australia,https://www.datazoo.com,,engineering / founders,"Data Zoo is the authoritative data layer for global identity verification, connecting enterprises and identity pl...",51-100,LinkedIn,Software Engineer
328,Eagle Software,"Melbourne, Australia",Australia,https://www.eaglesoftware.com.au,,,Real-estate CRM/listing software (11-50).,11-50,Indeed,Software Developer
329,Ecommerce Academy,"Gold Coast, Queensland, Australia",Australia,https://theecomacademy.com,,agency / training lead,Gold Coast ecommerce academy/agency hiring marketing specialists around Shopify brands.,2-10,LinkedIn,Marketing Specialist
330,Exclaim IT,"Brisbane, Queensland, Australia",Australia,https://www.exclaim-it.com.au,,engineering / studio lead,Digital agency hiring web/software developers.,11-50,LinkedIn,Solution Developer
331,Expert360,"Sydney, Australia",Australia,https://expert360.com,,,AU freelance marketplace software.,11-50,Indeed,Software Engineer
332,Frank Digital - A Jaywing Agency,"Melbourne, Victoria, Australia",Australia,https://www.frankdigital.com.au,,engineering / agency lead,Digital agency hiring web/software developers.,11-50,LinkedIn,Digital Project Manager
333,Inside Out® Community,"Adelaide, South Australia, Australia",Australia,https://www.theinsideout.community,,agency leadership / hiring,"At Inside Out® you’ll find independent insight, the perspective of your peers, and practical thinking...",2-10,LinkedIn,Social Content Creator & Producer (Full-Time or Part-Time)
334,MAXVY Technologies Pvt Ltd,"Bangalore, New South Wales, Australia",Australia,https://www.maxvytech.com,,engineering / studio lead,Mobile app studio or product company hiring mobile engineers.,11-50,LinkedIn,Flutter Developer – Internship -- Bangalore
335,Medow Health,Greater Sydney Area,Australia,https://www.medowhealth.ai/,,engineering / studio lead,Healthtech / digital health software company hiring engineers.,11-50,LinkedIn,Full-Stack Software Engineer
336,RecordPoint,"Sydney / Melbourne, Australia",Australia,https://www.recordpoint.com,,,Information lifecycle SaaS (11-50 on Indeed) hiring software engineers.,11-50,Indeed,Software Engineer
337,Right Hook Digital,"Millers Point, New South Wales, Australia",Australia,https://righthookdigital.com/,,engineering / agency lead,Shopify / ecommerce software or agency team hiring for storefront and commerce engineering.,51-100,LinkedIn,Google Ads / PPC Strategist (eCommerce) - Remote (Australia/New Zealand)
338,Rocket Agency,"Sydney, New South Wales, Australia",Australia,https://rocketagency.com.au,,engineering / agency lead,Digital agency hiring web/software developers.,51-100,LinkedIn,Search Engine Optimization Specialist
339,Sensei,"Adelaide, South Australia, Australia",Australia,https://www.senseiprojectsolutions.com.au/,,agency leadership / hiring,At Sensei we partner with you to help improve the way yo...,51-100,LinkedIn,D365 Application Support Consultant
340,SenSen Networks,"Melbourne, Australia",Australia,https://sensennetworks.com,,,Smart city AI/video analytics software (11-50).,11-50,Indeed,IoT Hardware Engineer
341,Silentium Defence,"Adelaide, South Australia, Australia",Australia,https://www.silentiumdefence.com.au/,,agency leadership / hiring,"A global leader in the design and deployment of cutting-edge passive surveillance systems, Silentiu...",51-100,LinkedIn,Senior Software Engineer
342,Storable Newbook,"Gold Coast, Queensland, Australia",Australia,https://www.newbook.cloud,,product engineering,Gold Coast hospitality software team (Newbook) hiring payments migration specialists.,51-100,LinkedIn,Payments Migration Specialist
343,Tailor,"Gold Coast, Queensland, Australia",Australia,https://www.tailor.tech,,engineering lead,Remote-friendly AU software company (TailorTech) hiring senior frontend engineers from Gold Coast.,11-50,LinkedIn,"Senior Frontend Engineer (Australia - AEST, Remote)"
344,The Creative Store Australia,"Perth, Western Australia, Australia",Australia,https://www.thecreativestore.com.au,,engineering / agency lead,Shopify / ecommerce software or agency team hiring for storefront and commerce engineering.,2-10,LinkedIn,Ecommerce Manager
345,Vitura Health (ASX:VIT),"Varsity Lakes, Queensland, Australia",Australia,https://www.vitura.com.au/,,engineering / founders,Healthtech / digital health software company hiring engineers.,51-100,LinkedIn,DevOps Engineer
346,Archesell Technologies,"Vancouver, British Columbia, Canada",Canada,,,,Vancouver AI startup posting Founding AI Engineer roles.,1-10,Indeed,Founding AI Engineer
347,Artificial.Agency,"Edmonton, Alberta, Canada",Canada,https://www.artificial.agency,,engineering / product,Edmonton AI/software studio posting open visionary team roles.,11-50,LinkedIn,Innovate Your Role: Join Artificial.Agency's Visionary Team
348,Bakeshop Digital,Canada,Canada,https://bakeshop.digital,,engineering / agency lead,Shopify / ecommerce software or agency team hiring for storefront and commerce engineering.,11-50,LinkedIn,Senior Growth Manager (Paid Social)
349,Borrowell,"Toronto, Ontario, Canada",Canada,https://borrowell.com,,,Canadian credit/fintech consumer software.,51-100,LinkedIn,Software Developer
350,Caribou,"Toronto, Ontario, Canada",Canada,https://www.caribou.care,,,Canadian care/fintech product company hiring senior software engineers.,11-50,LinkedIn,Senior Software Engineer
351,Crisp Media,"Vancouver, British Columbia, Canada",Canada,https://www.crispmedia.ca,,engineering / agency lead,Healthtech / digital health software company hiring engineers.,11-50,LinkedIn,Marketing Associate
352,Decoda Health,"Toronto, Ontario, Canada",Canada,https://decodahealth.com/?utm_source=linkedin&utm_medium=social&utm_campaign=company_page,,engineering / founders,Healthtech / digital health software company hiring engineers.,11-50,LinkedIn,Software Engineer
353,Dialogue,"Montréal, Quebec, Canada",Canada,https://www.dialogue.co,,,Canadian virtual care software platform.,51-100,LinkedIn,Software Engineer
354,Digital Shift,"Edmonton, Alberta, Canada",Canada,https://www.digitalshift.ca,,agency lead,Edmonton digital agency hiring account managers for client delivery.,2-10,LinkedIn,Account Manager
355,Established Search,"Calgary, Alberta, Canada",Canada,https://established-search.com/,,engineering / founders,Healthtech / digital health software company hiring engineers.,11-50,LinkedIn,Machine Learning Engineer
356,Fabled Solutions,"Edmonton, Alberta, Canada",Canada,https://fabledsolutions.com,,engineering lead,Edmonton custom software firm hiring full-stack PHP & Vue.js developers.,11-50,LinkedIn,Full-Stack Developer (PHP & Vue.js)
357,Fellow.app,"Ottawa, Ontario, Canada",Canada,https://fellow.app,,,Canadian meeting management SaaS.,11-50,LinkedIn,Software Engineer
358,Float Financial,"Toronto, Ontario, Canada",Canada,https://floatcard.com,,,Canadian spend management fintech SaaS.,11-50,LinkedIn,Senior Full Stack Developer
359,Hive,"Montréal, Quebec, Canada",Canada,https://hive.com,,,Canadian creative cloud collaboration software.,51-100,LinkedIn,Software Engineer
360,Humanitas Solutions,"Montréal, Quebec, Canada",Canada,https://humanitas.io,,,Montreal software/3D simulation company hiring Unreal developers.,11-50,Indeed,Unreal Engine - Senior C++ Developer
361,Integrate.ai,"Toronto, Ontario, Canada",Canada,https://www.integrate.ai,,,Canadian privacy-preserving AI software company.,11-50,LinkedIn,Software Engineer
362,IOA Digital,"Edmonton, Alberta, Canada",Canada,https://ioadigital.com,,founders / engineering,Edmonton fractional software development agency (Node.js/Rails) serving US & Canada clients; Indeed lists <10 employees.,2-10,Indeed,IOA Digital careers / software development
363,Konstruct Digital,"Calgary, Alberta, Canada",Canada,https://www.konstructdigital.com,,engineering / agency lead,Digital agency hiring web/software developers.,11-50,LinkedIn,Senior SEO Specialist
364,LayerZero Labs,"Vancouver, British Columbia, Canada",Canada,https://layerzero.network,,founders / engineering,LayerZero — the interoperability protocol for Better Money Technology.,51-100,LinkedIn,Backend Engineer
365,maru.ai,"Engineer, British Columbia, Canada",Canada,https://www.maru.ai/,,founders / engineering,"Meet Maru, your Software Engineering team&#39;s go-to expert. Harness your data 24/7 with Maru&#39;s connect...",2-10,LinkedIn,Software Engineer
366,Mass Tech Bytes,"Chiasson Office, New Brunswick, Canada",Canada,https://www.massoftind.com/,,engineering / studio lead,Mobile app studio or product company hiring mobile engineers.,51-100,LinkedIn,iOS Developer
367,Media Shop Collective,"St Albert, Alberta, Canada",Canada,https://www.mediashopcollective.com,,creative / agency lead,Edmonton-area creative digital collective hiring brand and digital designers.,2-10,LinkedIn,Brand and Digital Designer
368,Midknight Genius,"Remote, Canada",Canada,https://midknightgenius.com,,agency project lead,Shopify Plus partner agency hiring remote project managers for POS/B2B/DTC builds.,2-10,Indeed,Project Manager (For a Shopify Plus Agency) CA
369,Molaris AI Innovations Inc.,"Montreal, Quebec, Canada",Canada,https://www.molaris.ai,,engineering / founders,Healthtech / digital health software company hiring engineers.,11-50,LinkedIn,Senior Software Engineer / Tech Lead
370,NLPatent,"Toronto, Ontario, Canada",Canada,https://www.nlpatent.com,,,AI patent search software; Senior Backend Engineer roles.,11-50,LinkedIn,Senior Backend Software Engineer (Python)
371,Nuvoola AI,"Québec, Canada",Canada,https://nuvoola.com,,,Canadian AI software company hiring developers.,11-50,Indeed,Software Developer
372,OnDeck AI,"Vancouver, BC, Canada",Canada,https://www.ondeckai.com,,engineering hiring,"Analyze any footage, without training a model Tags: Machine Learning, SaaS, Computer Vision, B2B, Video",~5,LinkedIn,Founding Engineer / Software Engineer
373,Precision AI,"Calgary, Alberta, Canada",Canada,https://www.precision.ai,,founders / engineering,Healthtech / digital health software company hiring engineers.,11-50,LinkedIn,AI Systems Engineer
